id,name,category,price
101,Laptop Pro 15,Electronics,1299.99
102,Wireless Mouse,Electronics,29.99
103,Office Chair Deluxe,Furniture,349.99
104,Standing Desk,Furniture,599.99
105,USB-C Hub,Electronics,49.99
106,Noise Cancelling Headphones,Electronics,299.99
107,Desk Lamp LED,Furniture,79.99
108,Ergonomic Keyboard,Electronics,149.99
109,Monitor 27 inch,Electronics,399.99
110,Webcam HD,Electronics,89.99
111,Coffee Mug,Office Supplies,12.99
112,Notebook Set,Office Supplies,24.99
113,Pen Set Premium,Office Supplies,34.99
114,Desk Organizer,Office Supplies,19.99
115,Water Bottle,Office Supplies,15.99
